x-axis,1,2
second,Volt,Volt
+1.61240670000E-03,-23.91957630679E-03,+52.16082487859E-03
+1.61240677813E-03,-28.94470187847E-03,+54.67338766443E-03
+1.61240685625E-03,-33.96982745015E-03,+57.18595045027E-03
+1.61240693438E-03,-40.90450073282E-03,+55.87941781411E-03
+1.61240701250E-03,-46.53264138066E-03,+53.36685502827E-03
+1.61240709063E-03,-49.64821924398E-03,+50.85429224243E-03
+1.61240716875E-03,-54.07032973685E-03,+46.43218174956E-03
+1.61240724688E-03,-57.18590760282E-03,+41.40705617789E-03
+1.61240732500E-03,-59.69847038865E-03,+36.38193060621E-03
+1.61240740313E-03,-60.30148547143E-03,+31.35680503454E-03
+1.61240748125E-03,-60.30148547143E-03,+28.24122716460E-03
+1.61240755938E-03,-58.39193777101E-03,+25.72866437876E-03
+1.61240763750E-03,-55.87937498517E-03,+23.21610159293E-03
+1.61240771563E-03,-51.45726450156E-03,+22.61308650486E-03
+1.61240779375E-03,-48.34168662634E-03,+24.52263420131E-03
+1.61240787188E-03,-42.01002845024E-03,+25.12564929202E-03
+1.61240795000E-03,-36.38188778653E-03,+25.12564929202E-03
+1.61240802813E-03,-31.35676221486E-03,+27.03519698451E-03
+1.61240810625E-03,-24.42208895202E-03,+29.54775977034E-03
+1.61240818438E-03,-20.70349597419E-03,+30.15077486634E-03
+1.61240826250E-03,-16.28138549983E-03,+30.15077486634E-03
+1.61240834063E-03,-13.16580761535E-03,+30.15077486634E-03
+1.61240841875E-03,-10.65324482951E-03,+30.15077486634E-03
+1.61240849688E-03,-10.05022972822E-03,+28.24122718179E-03
+1.61240857500E-03,-8.14068204500E-03,+27.63821207918E-03
+1.61240865313E-03,-9.44721462296E-03,+27.63821207918E-03
+1.61240873125E-03,-10.05022972822E-03,+27.63821207918E-03
+1.61240880938E-03,-11.95977740748E-03,+27.63821207918E-03
+1.61240888750E-03,-12.56279251538E-03,+27.63821207918E-03
+1.61240896563E-03,-12.56279251538E-03,+27.63821207918E-03
+1.61240904375E-03,-12.56279251538E-03,+27.63821207918E-03
+1.61240912188E-03,-12.56279251538E-03,+27.63821207918E-03
+1.61240920000E-03,-12.56279251538E-03,+29.54775975183E-03
+1.61240927813E-03,-12.56279251538E-03,+30.15077486634E-03
+1.61240935625E-03,-12.56279251538E-03,+30.15077486634E-03
+1.61240943438E-03,-12.56279251538E-03,+30.15077486634E-03
+1.61240951250E-03,-10.65324484803E-03,+30.15077486634E-03
+1.61240959063E-03,-10.05022972822E-03,+30.15077486634E-03
