x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+5.7504000E-06,+4.3316582664847E+00,+4.7361808752172E+00,-47.7386715360E-03,+4.0527637971096E+00
+5.7508000E-06,+4.3316582664847E+00,+4.7336683124304E+00,-50.2512343228E-03,+4.0502512343228E+00
+5.7512000E-06,+4.3316582664847E+00,+4.7336683124304E+00,-50.2512343228E-03,+4.0502512343228E+00
+5.7516000E-06,+4.3316582664847E+00,+4.7713567542381E+00,-87.9396761305E-03,+4.0502512343228E+00
+5.7520000E-06,+4.2939698246770E+00,+4.7738693170250E+00,-90.4522389174E-03,+4.0502512343228E+00
+5.7524000E-06,+4.2914572618902E+00,+4.7738693170250E+00,-90.4522389174E-03,+4.0125627925150E+00
+5.7528000E-06,+4.2914572618902E+00,+4.7738693170250E+00,-15.0753553019E-03,+4.0100502297282E+00
+5.7532000E-06,+4.2914572618902E+00,+4.7738693170250E+00,+27.6382120795E-03,+4.0100502297282E+00
+5.7536000E-06,+4.2914572618902E+00,+4.7738693170250E+00,+67.8392166741E-03,+4.0100502297282E+00
+5.7540000E-06,+4.2914572618902E+00,+4.7361808752172E+00,+70.3517794609E-03,+4.0100502297282E+00
+5.7544000E-06,+4.2914572618902E+00,+4.7336683124304E+00,+70.3517794609E-03,+3.9723617879205E+00
+5.7548000E-06,+4.2914572618902E+00,+4.6959798706226E+00,+70.3517794609E-03,+3.9698492251337E+00
+5.7552000E-06,+4.3291457036979E+00,+4.6934673078358E+00,+70.3517794609E-03,+4.0075376669414E+00
+5.7556000E-06,+4.2939698246770E+00,+4.6934673078358E+00,+108.0402212687E-03,+4.0100502297282E+00
+5.7560000E-06,+4.2914572618902E+00,+4.6934673078358E+00,+148.2412258632E-03,+4.0100502297282E+00
+5.7564000E-06,+4.2914572618902E+00,+4.7311557496436E+00,+150.7537886500E-03,+4.0100502297282E+00
+5.7568000E-06,+4.2914572618902E+00,+4.7336683124304E+00,+188.4422304578E-03,+4.0100502297282E+00
+5.7572000E-06,+4.2914572618902E+00,+4.7336683124304E+00,+190.9547932446E-03,+4.0477386715360E+00
+5.7576000E-06,+4.2914572618902E+00,+4.7336683124304E+00,+190.9547932446E-03,+4.0125627925150E+00
+5.7580000E-06,+4.2914572618902E+00,+4.7336683124304E+00,+190.9547932446E-03,+4.0100502297282E+00
+5.7584000E-06,+4.2914572618902E+00,+4.7336683124304E+00,+153.2663514368E-03,+3.9723617879204E+00
+5.7588000E-06,+4.2914572618902E+00,+4.7336683124304E+00,+188.4422304578E-03,+3.9698492251337E+00
+5.7592000E-06,+4.2914572618902E+00,+4.7713567542382E+00,+190.9547932446E-03,+4.0075376669415E+00
+5.7596000E-06,+4.2914572618902E+00,+4.7738693170250E+00,+190.9547932446E-03,+4.0100502297282E+00
+5.7600000E-06,+4.2914572618902E+00,+4.7738693170250E+00,+190.9547932446E-03,+4.0100502297282E+00
+5.7604000E-06,+4.2914572618902E+00,+4.7738693170250E+00,+153.2663514368E-03,+4.0100502297282E+00
+5.7608000E-06,+4.2914572618902E+00,+4.8115577588328E+00,+150.7537886500E-03,+3.9723617879204E+00
+5.7612000E-06,+4.2914572618902E+00,+4.8140703216195E+00,+113.0653468422E-03,+3.9698492251337E+00
+5.7616000E-06,+4.2160803782745E+00,+4.7763818798117E+00,+148.2412258633E-03,+4.0075376669415E+00
+5.7620000E-06,+4.1733668108932E+00,+4.8115577588328E+00,+263.8191140735E-03,+4.0100502297282E+00
+5.7624000E-06,+4.0954773644908E+00,+4.8140703216195E+00,+459.7990114728E-03,+4.0100502297282E+00
+5.7628000E-06,+3.9773869134939E+00,+4.8517587634273E+00,+698.4924762535E-03,+3.9723617879204E+00
+5.7632000E-06,+3.8944723415180E+00,+4.8165828844063E+00,+977.3869456287E-03,+3.9698492251337E+00
+5.7636000E-06,+3.8517587741367E+00,+4.8140703216195E+00,+1.2587939777907E+00,+3.9321607833258E+00
+5.7640000E-06,+3.8115577695421E+00,+4.8140703216195E+00,+1.5402010099527E+00,+3.8919597787313E+00
+5.7644000E-06,+3.8090452067554E+00,+4.8140703216195E+00,+1.7839196003068E+00,+3.8517587741367E+00
+5.7648000E-06,+3.8090452067554E+00,+4.8140703216195E+00,+2.0251256278742E+00,+3.7738693277343E+00
+5.7652000E-06,+3.8467336485632E+00,+4.8140703216195E+00,+2.3417085390573E+00,+3.7311557603530E+00
+5.7656000E-06,+3.8492462113500E+00,+4.7763818798117E+00,+2.6633165758138E+00,+3.6909547557584E+00
+5.7660000E-06,+3.8869346531578E+00,+4.7738693170250E+00,+3.0226130543782E+00,+3.6507537511639E+00
+5.7664000E-06,+3.9648240995602E+00,+4.7361808752171E+00,+3.3467336539215E+00,+3.6482411883771E+00
+5.7668000E-06,+4.0452261087494E+00,+4.7336683124304E+00,+3.7060301324859E+00,+3.6482411883771E+00
+5.7672000E-06,+4.1256281179385E+00,+4.6959798706225E+00,+3.9924622902213E+00,+3.6482411883771E+00
+5.7676000E-06,+4.2060301271276E+00,+4.6934673078358E+00,+4.2738693223832E+00,+3.6859296301850E+00
+5.7680000E-06,+4.3241205781246E+00,+4.6934673078358E+00,+4.5175879127374E+00,+3.7261306347796E+00
+5.7684000E-06,+4.4070351501005E+00,+4.6934673078358E+00,+4.7211054984969E+00,+3.8417085229899E+00
+5.7688000E-06,+4.4874371592896E+00,+4.7311557496437E+00,+4.9221105214697E+00,+3.9623115367736E+00
+5.7692000E-06,+4.5301507266709E+00,+4.7713567542383E+00,+5.0854271026347E+00,+4.0829145505573E+00
+5.7696000E-06,+4.6080401730733E+00,+4.8115577588328E+00,+5.2085426792051E+00,+4.2035175643410E+00
