x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+986.6000E-06,+271.3568024E-03,+351.7588116E-03,+4.3775125373E+00,+472.3618254E-03
+986.7000E-06,+271.3568024E-03,+371.2311732E-03,+4.4315326373E+00,+411.4321778E-03
+986.8000E-06,+235.5527827E-03,+391.9598162E-03,+4.4120602757E+00,+472.3618254E-03
+986.9000E-06,+271.3568024E-03,+351.7588116E-03,+4.4120602757E+00,+472.3618254E-03
+987.0000E-06,+245.6030339E-03,+351.7588116E-03,+4.4120602757E+00,+472.3618254E-03
+987.1000E-06,+231.7839385E-03,+351.7588116E-03,+4.3724874118E+00,+432.7889615E-03
+987.2000E-06,+231.1557978E-03,+376.2562988E-03,+4.3875627885E+00,+447.8643382E-03
+987.3000E-06,+271.3568024E-03,+391.9598162E-03,+4.3812813815E+00,+462.9397150E-03
+987.4000E-06,+265.7035362E-03,+357.4120779E-03,+4.3775125373E+00,+432.1608208E-03
+987.5000E-06,+251.8844408E-03,+391.9598162E-03,+4.3913316327E+00,+432.1608208E-03
+987.6000E-06,+271.3568024E-03,+356.1557965E-03,+4.3762562560E+00,+432.1608208E-03
+987.7000E-06,+271.3568024E-03,+362.4372035E-03,+4.4120602757E+00,+432.1608208E-03
+987.8000E-06,+271.3568024E-03,+351.7588116E-03,+4.4120602757E+00,+457.9145894E-03
+987.9000E-06,+271.3568024E-03,+351.7588116E-03,+4.4120602757E+00,+432.1608208E-03
+988.0000E-06,+255.6532850E-03,+376.2562988E-03,+4.4120602757E+00,+432.1608208E-03
+988.1000E-06,+261.9346920E-03,+382.5377058E-03,+4.3812813815E+00,+441.5829313E-03
+988.2000E-06,+271.3568024E-03,+357.4120779E-03,+4.4120602757E+00,+432.1608208E-03
+988.3000E-06,+251.8844408E-03,+331.0301686E-03,+4.3925879141E+00,+432.1608208E-03
+988.4000E-06,+235.5527827E-03,+351.7588116E-03,+4.4120602757E+00,+467.9648405E-03
+988.5000E-06,+271.3568024E-03,+381.2814244E-03,+4.4013818838E+00,+432.1608208E-03
+988.6000E-06,+245.6030339E-03,+366.2060477E-03,+4.4120602757E+00,+432.1608208E-03
+988.7000E-06,+270.7286617E-03,+352.3869523E-03,+4.3724874118E+00,+393.2160976E-03
+988.8000E-06,+231.1557978E-03,+351.7588116E-03,+4.3963567583E+00,+447.8643382E-03
+988.9000E-06,+231.1557978E-03,+382.5377058E-03,+4.4120602757E+00,+432.1608208E-03
+989.0000E-06,+231.1557978E-03,+391.9598162E-03,+4.4064070094E+00,+432.1608208E-03
+989.1000E-06,+250.6281594E-03,+351.7588116E-03,+4.3925879141E+00,+452.8894638E-03
+989.2000E-06,+235.5527827E-03,+351.7588116E-03,+4.4076632908E+00,+432.1608208E-03
+989.3000E-06,+271.3568024E-03,+351.7588116E-03,+4.3825376629E+00,+391.9598162E-03
+989.4000E-06,+256.9095664E-03,+351.7588116E-03,+4.3718592711E+00,+446.6080568E-03
+989.5000E-06,+271.3568024E-03,+391.3316755E-03,+4.4114321350E+00,+471.7336847E-03
+989.6000E-06,+271.3568024E-03,+376.2562988E-03,+4.3718592711E+00,+456.6583080E-03
+989.7000E-06,+261.9346920E-03,+361.1809221E-03,+4.3812813815E+00,+432.1608208E-03
+989.8000E-06,+265.7035362E-03,+351.7588116E-03,+4.4120602757E+00,+432.1608208E-03
+989.9000E-06,+271.3568024E-03,+351.7588116E-03,+4.3925879141E+00,+411.4321778E-03
+990.0000E-06,+231.1557978E-03,+351.7588116E-03,+4.4120602757E+00,+432.1608208E-03
+990.1000E-06,+260.6784106E-03,+381.2814244E-03,+4.4013818838E+00,+432.1608208E-03
+990.2000E-06,+2.7493718513E+00,+2.2556532636E+00,-609.9245951E-03,+1.0816583014E+00
+990.3000E-06,+4.4114321350E+00,+3.8084170661E+00,-211.0552527E-03,+2.8429648151E+00
+990.4000E-06,+4.3473617839E+00,+4.3718592711E+00,-186.5577655E-03,+3.0540200892E+00
+990.5000E-06,+4.3718592711E+00,+4.6130652986E+00,-130.6532435E-03,+3.0546482299E+00
+990.6000E-06,+4.3373115327E+00,+4.7336683124E+00,-136.3065098E-03,+3.0854271241E+00
+990.7000E-06,+4.3718592711E+00,+4.7531406740E+00,-170.8542481E-03,+3.0659547624E+00
+990.8000E-06,+4.3674622862E+00,+4.7738693170E+00,-170.8542481E-03,+3.0854271241E+00
+990.9000E-06,+4.3718592711E+00,+4.7631909252E+00,-170.8542481E-03,+3.0854271241E+00
+991.0000E-06,+4.3574120350E+00,+4.7738693170E+00,-156.4070121E-03,+3.0452261195E+00
+991.1000E-06,+4.3718592711E+00,+4.7738693170E+00,-170.8542481E-03,+3.0854271241E+00
+991.2000E-06,+4.3718592711E+00,+4.7738693170E+00,-155.1507307E-03,+3.0854271241E+00
+991.3000E-06,+4.3316582665E+00,+4.7738693170E+00,-140.0753540E-03,+3.0854271241E+00
+991.4000E-06,+4.3718592711E+00,+4.7795225833E+00,-130.6532435E-03,+3.0854271241E+00
+991.5000E-06,+4.3718592711E+00,+4.7738693170E+00,-151.3818865E-03,+3.0646984811E+00
+991.6000E-06,+4.3718592711E+00,+4.8096733367E+00,-170.8542481E-03,+3.0854271241E+00
+991.7000E-06,+4.4120602757E+00,+4.8033919298E+00,-170.8542481E-03,+3.0747487322E+00
+991.8000E-06,+4.3718592711E+00,+4.7996230856E+00,-156.4070121E-03,+3.0709798880E+00
+991.9000E-06,+4.3718592711E+00,+4.8134421809E+00,-131.2813842E-03,+3.0847989834E+00
+992.0000E-06,+4.3718592711E+00,+4.7738693170E+00,-130.6532435E-03,+3.0609296369E+00
+992.1000E-06,+4.3410803770E+00,+4.8140703216E+00,-130.6532435E-03,+3.0854271241E+00
+992.2000E-06,+4.3718592711E+00,+4.7738693170E+00,-130.6532435E-03,+3.0508793857E+00
+992.3000E-06,+4.3718592711E+00,+4.7738693170E+00,-130.6532435E-03,+3.0854271241E+00
+992.4000E-06,+4.4076632908E+00,+4.7738693170E+00,-170.8542481E-03,+3.0854271241E+00
+992.5000E-06,+4.3718592711E+00,+4.7738693170E+00,-160.1758563E-03,+3.0559045113E+00
+992.6000E-06,+4.3718592711E+00,+4.7996230856E+00,-130.6532435E-03,+3.0854271241E+00
+992.7000E-06,+4.4114321350E+00,+4.8134421809E+00,-130.6532435E-03,+3.0854271241E+00
+992.8000E-06,+4.3718592711E+00,+4.7983668042E+00,-121.8592737E-03,+3.0854271241E+00
+992.9000E-06,+4.3718592711E+00,+4.7832914275E+00,-121.2311330E-03,+3.0948492345E+00
+993.0000E-06,+4.4064070094E+00,+4.7795225833E+00,-124.9999773E-03,+3.0508793857E+00
+993.1000E-06,+4.4120602757E+00,+4.7933416786E+00,-150.1256051E-03,+3.0646984811E+00
+993.2000E-06,+4.3718592711E+00,+4.8140703216E+00,-130.6532435E-03,+3.0854271241E+00
+993.3000E-06,+4.3718592711E+00,+4.7845477088E+00,-119.9748517E-03,+3.0854271241E+00
