x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+129.0248000E-06,+673.3668483794E-03,+753.7688575685E-03,+4.3316582664847E+00,+1.4371859356761E+00,-765.6250000000E-03
+129.0251125E-06,+658.8944867244E-03,+753.7688575685E-03,+4.3316582664847E+00,+1.4371859356761E+00,-779.6875000009E-03
+129.0254250E-06,+633.1658437848E-03,+753.7688575685E-03,+4.3316582664847E+00,+1.4371859356761E+00,-804.6875000000E-03
+129.0257375E-06,+647.6382054393E-03,+753.7688575685E-03,+4.3379899247086E+00,+1.4516582973306E+00,-804.6875000000E-03
+129.0260500E-06,+673.3668483794E-03,+753.7688575685E-03,+4.3573869094254E+00,+1.4773869402707E+00,-804.6875000000E-03
+129.0263625E-06,+673.3668483794E-03,+753.7688575685E-03,+4.3718592710793E+00,+1.4773869402707E+00,-804.6875000000E-03
+129.0266750E-06,+673.3668483794E-03,+753.7688575685E-03,+4.3718592710793E+00,+1.4773869402707E+00,-804.6875000000E-03
+129.0269875E-06,+658.8944867259E-03,+753.7688575685E-03,+4.3718592710793E+00,+1.4773869402707E+00,-819.4531249995E-03
+129.0273000E-06,+633.1658437848E-03,+753.7688575685E-03,+4.3718592710793E+00,+1.4773869402707E+00,-845.7031250000E-03
+129.0276125E-06,+633.1658437848E-03,+768.2412192215E-03,+4.3718592710793E+00,+1.4629145786176E+00,-830.9375000010E-03
+129.0279250E-06,+633.1658437848E-03,+793.9698621631E-03,+4.3573869094265E+00,+1.4371859356761E+00,-804.6875000000E-03
+129.0282375E-06,+633.1658437848E-03,+793.9698621631E-03,+4.3316582664847E+00,+1.4371859356761E+00,-804.6875000000E-03
+129.0285500E-06,+633.1658437848E-03,+793.9698621631E-03,+4.3379899247076E+00,+1.4371859356761E+00,-804.6875000000E-03
+129.0288625E-06,+633.1658437848E-03,+779.4975005110E-03,+4.3573869094242E+00,+1.4371859356761E+00,-804.6875000000E-03
