x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+127.916400E-06,+4.464824094201E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.212036132810E+00
+127.918000E-06,+4.452261280268E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.919600E-06,+4.479899470930E+00,+4.841708512281E+00,+4.452261280268E+00,+1.251381941140E+00,+3.227416992191E+00
+127.921200E-06,+4.492462284863E+00,+4.826633135552E+00,+4.424623089607E+00,+1.251381941140E+00,+3.240234375000E+00
+127.922800E-06,+4.464824094201E+00,+4.814070321620E+00,+4.439698466336E+00,+1.251381941140E+00,+3.212036132809E+00
+127.924400E-06,+4.452261280268E+00,+4.786432130957E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.926000E-06,+4.479899470931E+00,+4.801507507687E+00,+4.452261280268E+00,+1.251381941140E+00,+3.227416992191E+00
+127.927600E-06,+4.492462284863E+00,+4.814070321620E+00,+4.479899470931E+00,+1.223743750477E+00,+3.268432617191E+00
+127.929200E-06,+4.492462284863E+00,+4.786432130957E+00,+4.464824094201E+00,+1.238819127207E+00,+3.253051757809E+00
+127.930800E-06,+4.464824094201E+00,+4.773869317025E+00,+4.452261280268E+00,+1.251381941140E+00,+3.212036132809E+00
+127.932400E-06,+4.479899470931E+00,+4.801507507687E+00,+4.452261280268E+00,+1.251381941140E+00,+3.227416992191E+00
+127.934000E-06,+4.464824094200E+00,+4.814070321620E+00,+4.452261280268E+00,+1.251381941140E+00,+3.212036132809E+00
+127.935600E-06,+4.452261280268E+00,+4.786432130957E+00,+4.452261280268E+00,+1.251381941140E+00,+3.199218750000E+00
+127.937200E-06,+4.479899470931E+00,+4.773869317025E+00,+4.424623089606E+00,+1.223743750477E+00,+3.255615234383E+00
+127.938800E-06,+4.464824094200E+00,+4.801507507688E+00,+4.467336657000E+00,+1.238819127208E+00,+3.224853515617E+00
+127.940400E-06,+4.479899470931E+00,+4.814070321620E+00,+4.464824094200E+00,+1.251381941140E+00,+3.227416992192E+00
+127.942000E-06,+4.464824094200E+00,+4.786432130956E+00,+4.479899470931E+00,+1.251381941140E+00,+3.212036132808E+00
