x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+220.86000E-06,,,,,
+220.87000E-06,,,,,
+220.88000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.47738694027E+00,-845.70312500E-03
+220.89000E-06,+633.16584378E-03,+753.76885757E-03,+4.33165826648E+00,+1.43718593568E+00,-804.68750000E-03
+220.90000E-06,+613.06534149E-03,+753.76885757E-03,+4.35175876878E+00,+1.47738694027E+00,-865.23437500E-03
+220.91000E-06,+592.96483919E-03,+713.56785297E-03,+4.35175876878E+00,+1.43718593568E+00,-845.70312500E-03
+220.92000E-06,+633.16584378E-03,+753.76885757E-03,+4.35175876878E+00,+1.43718593568E+00,-804.68750000E-03
+220.93000E-06,+613.06534148E-03,+733.66835527E-03,+4.37185927108E+00,+1.47738694027E+00,-865.23437500E-03
+220.94000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-804.68750000E-03
+220.95000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-804.68750000E-03
+220.96000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.39698493108E+00,-765.62500000E-03
+220.97000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-804.68750000E-03
+220.98000E-06,+633.16584378E-03,+753.76885757E-03,+4.33165826648E+00,+1.43718593568E+00,-804.68750000E-03
+220.99000E-06,+633.16584378E-03,+733.66835527E-03,+4.33165826648E+00,+1.45728643798E+00,-825.19531251E-03
+221.00000E-06,+633.16584378E-03,+733.66835526E-03,+4.35175876878E+00,+1.47738694027E+00,-845.70312500E-03
+221.01000E-06,+613.06534149E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-825.19531249E-03
+221.02000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.45728643798E+00,-825.19531251E-03
+221.03000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-804.68750000E-03
+221.04000E-06,+592.96483919E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-845.70312500E-03
+221.05000E-06,+633.16584378E-03,+713.56785297E-03,+4.37185927108E+00,+1.43718593568E+00,-804.68750000E-03
+221.06000E-06,+633.16584378E-03,+753.76885757E-03,+4.33165826648E+00,+1.43718593568E+00,-804.68750000E-03
+221.07000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-804.68750000E-03
+221.08000E-06,+633.16584378E-03,+753.76885757E-03,+4.35175876877E+00,+1.43718593568E+00,-804.68750000E-03
+221.09000E-06,+633.16584378E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-804.68750000E-03
+221.10000E-06,+613.06534148E-03,+753.76885757E-03,+4.37185927108E+00,+1.43718593568E+00,-825.19531251E-03
+221.11000E-06,+673.36684838E-03,+773.86935985E-03,+4.37185927108E+00,+1.45728643796E+00,-785.15624999E-03
+221.12000E-06,+2.96482411027E+00,+2.22110552526E+00,-592.96479631E-03,+2.84422109649E+00,+119.14062500E-03
+221.13000E-06,+3.32663315162E+00,+2.70351758039E+00,+231.15579784E-03,+3.34673365390E+00,-20.50781249E-03
+221.14000E-06,+3.78894470444E+00,+2.86432159877E+00,-50.25123432E-03,+3.60804018376E+00,+179.68750001E-03
+221.15000E-06,+3.70854269525E+00,+3.12562812865E+00,+70.35177946E-03,+3.76884420216E+00,-61.52343751E-03
+221.16000E-06,+4.35175876880E+00,+3.40703516081E+00,+70.35177946E-03,+4.05025123432E+00,+300.78125001E-03
+221.17000E-06,+4.33165826648E+00,+3.44723616540E+00,-10.05022973E-03,+4.13065324351E+00,+199.21875000E-03
+221.18000E-06,+4.37185927108E+00,+3.44723616540E+00,+130.65328637E-03,+4.13065324351E+00,+240.23437500E-03
+221.19000E-06,+4.35175876877E+00,+3.44723616540E+00,+70.35177946E-03,+4.11055274120E+00,+240.23437500E-03
+221.20000E-06,+4.37185927108E+00,+3.48743717000E+00,+30.15077487E-03,+4.11055274123E+00,+260.74218748E-03
+221.21000E-06,+4.33165826648E+00,+3.48743717000E+00,+110.55278406E-03,+4.09045223892E+00,+240.23437500E-03
+221.22000E-06,+4.37185927108E+00,+3.48743717000E+00,+70.35177946E-03,+4.09045223892E+00,+281.25000000E-03
+221.23000E-06,+4.37185927108E+00,+3.52763817459E+00,+10.05027255E-03,+4.11055274120E+00,+260.74218752E-03
+221.24000E-06,+4.33165826648E+00,+3.60804018378E+00,+70.35177946E-03,+4.05025123432E+00,+281.25000000E-03
+221.25000E-06,+4.33165826648E+00,+3.66834169065E+00,+70.35177946E-03,+4.05025123432E+00,+281.25000000E-03
+221.26000E-06,+4.29145726189E+00,+3.80904520676E+00,+30.15077487E-03,+4.03015073201E+00,+260.74218752E-03
+221.27000E-06,+4.29145726189E+00,+4.01005022973E+00,+110.55278406E-03,+4.05025123432E+00,+240.23437500E-03
+221.28000E-06,+4.33165826648E+00,+4.13065324351E+00,+110.55278406E-03,+4.01005022973E+00,+320.31250000E-03
+221.29000E-06,+4.27135675961E+00,+4.17085424811E+00,+30.15077487E-03,+4.01005022973E+00,+260.74218752E-03
+221.30000E-06,+4.25125625730E+00,+4.25125625730E+00,+50.25127719E-03,+3.96984922513E+00,+281.25000000E-03
+221.31000E-06,+4.25125625730E+00,+4.33165826648E+00,+30.15077487E-03,+4.01005022973E+00,+240.23437500E-03
+221.32000E-06,+4.29145726189E+00,+4.37185927108E+00,+90.45228174E-03,+4.01005022973E+00,+281.25000000E-03
+221.33000E-06,+4.25125625730E+00,+4.41206027567E+00,+70.35177946E-03,+3.96984922513E+00,+281.25000000E-03
+221.34000E-06,+4.27135675962E+00,+4.45226128027E+00,+110.55278406E-03,+3.96984922513E+00,+300.78125002E-03
+221.35000E-06,+4.29145726189E+00,+4.49246228486E+00,+70.35177946E-03,+3.96984922513E+00,+320.31250000E-03
+221.36000E-06,+4.25125625730E+00,+4.53266328946E+00,+90.45228178E-03,+4.01005022973E+00,+240.23437500E-03
+221.37000E-06,+4.29145726189E+00,+4.53266328946E+00,+50.25127719E-03,+3.94974872281E+00,+340.82031253E-03
+221.38000E-06,+4.25125625730E+00,+4.55276379173E+00,+70.35177946E-03,+3.98994972746E+00,+260.74218747E-03
+221.39000E-06,+4.25125625730E+00,+4.57286429405E+00,+50.25127714E-03,+3.96984922513E+00,+281.25000000E-03
+221.40000E-06,+4.25125625730E+00,+4.61306529865E+00,+70.35177946E-03,+3.98994972746E+00,+260.74218747E-03
+221.41000E-06,+4.27135675957E+00,+4.59296479632E+00,+110.55278406E-03,+3.98994972740E+00,+281.25000000E-03
+221.42000E-06,+4.25125625730E+00,+4.61306529865E+00,+90.45228173E-03,+3.96984922513E+00,+281.25000000E-03
+221.43000E-06,+4.29145726189E+00,+4.61306529865E+00,+110.55278406E-03,+3.96984922513E+00,+320.31250000E-03
+221.44000E-06,+4.27135675956E+00,+4.61306529865E+00,+70.35177946E-03,+3.94974872287E+00,+321.28906244E-03
+221.45000E-06,+4.25125625730E+00,+4.61306529865E+00,+70.35177946E-03,+3.96984922513E+00,+281.25000000E-03
+221.46000E-06,+4.25125625730E+00,+4.61306529865E+00,+50.25127719E-03,+3.98994972740E+00,+260.74218753E-03
+221.47000E-06,+4.25125625730E+00,+4.65326630324E+00,+30.15077487E-03,+3.96984922513E+00,+281.25000000E-03
+221.48000E-06,+4.25125625730E+00,+4.65326630324E+00,+90.45228173E-03,+3.96984922513E+00,+281.25000000E-03
+221.49000E-06,+4.25125625730E+00,+4.65326630324E+00,+70.35177946E-03,+3.96984922513E+00,+281.25000000E-03
+221.50000E-06,+4.25125625730E+00,+4.65326630324E+00,+70.35177946E-03,+3.96984922513E+00,+281.25000000E-03
+221.51000E-06,+4.25125625730E+00,+4.67336680551E+00,+50.25127720E-03,+3.96984922513E+00,+281.25000000E-03
+221.52000E-06,+4.25125625730E+00,+4.69346730784E+00,+70.35177946E-03,+3.96984922513E+00,+281.25000000E-03
+221.53000E-06,+4.25125625730E+00,+4.65326630324E+00,+30.15077487E-03,+3.92964822054E+00,+320.31250000E-03
+221.54000E-06,+4.23115575496E+00,+4.69346730784E+00,+70.35177946E-03,+3.96984922513E+00,+260.74218746E-03
