x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+1.1962840000E-03,,,,
+1.1962845000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8969849150029E+00
+1.1962850000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.9246231056750E+00
+1.1962855000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8919597894645E+00
+1.1962860000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8844221010804E+00
+1.1962865000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8844221010804E+00
+1.1962870000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8844221010804E+00
+1.1962875000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-57.7889227255E-03,+2.8844221010804E+00
+1.1962880000E-03,+4.8115577588782E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962885000E-03,+4.7864321309102E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8718592871952E+00
+1.1962890000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8442210964859E+00
+1.1962895000E-03,+4.8467336377927E+00,+4.8944723308086E+00,-82.9145504960E-03,+2.8442210964859E+00
+1.1962900000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8442210964859E+00
+1.1962905000E-03,+4.8015075077529E+00,+4.8944723308086E+00,-77.8894250507E-03,+2.8567839103525E+00
+1.1962910000E-03,+4.7738693170250E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962915000E-03,+4.7738693170250E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962920000E-03,+4.7738693170250E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962925000E-03,+4.7864321308730E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962930000E-03,+4.7914572566275E+00,+4.8944723308086E+00,-72.8642993148E-03,+2.8844221010804E+00
+1.1962935000E-03,+4.7738693170250E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8844221010804E+00
+1.1962940000E-03,+4.7738693170250E+00,+4.8944723308086E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962945000E-03,+4.7738693170250E+00,+4.9070351446380E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962950000E-03,+4.7964823819983E+00,+4.9120602704299E+00,-50.2512343228E-03,+2.8618090361071E+00
+1.1962955000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-82.9145504401E-03,+2.8442210964859E+00
+1.1962960000E-03,+4.8517587635473E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8467336591526E+00
+1.1962965000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8844221010804E+00
+1.1962970000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-67.8391739626E-03,+2.8844221010804E+00
+1.1962975000E-03,+4.8140703216195E+00,+4.8618090147099E+00,-50.2512343228E-03,+2.8844221010804E+00
+1.1962980000E-03,+4.8140703216195E+00,+4.8919597681605E+00,-90.4522389174E-03,+2.8844221010804E+00
+1.1962985000E-03,+4.8140703216195E+00,+4.8668341400062E+00,-90.4522389174E-03,+2.8844221010804E+00
+1.1962990000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-67.8391739813E-03,+2.8844221010804E+00
+1.1962995000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-82.9145504029E-03,+2.8844221010804E+00
+1.1963000000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8819095384509E+00
+1.1963005000E-03,+4.8140703216195E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8442210964859E+00
+1.1963010000E-03,+4.7914572567020E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8442210964859E+00
+1.1963015000E-03,+4.8065326330864E+00,+4.8944723308086E+00,-90.4522389174E-03,+2.8768844125473E+00
