x-axis,SCL1,3
second,Volt,Volt
+1.33530E-03,+4.65326630E+00,-50.25123E-03
+1.33630E-03,+4.65326630E+00,+4.60917488E+00
+1.33730E-03,+4.65326630E+00,+4.58712917E+00
+1.33830E-03,+4.65326630E+00,+4.59750362E+00
+1.33930E-03,+4.65326630E+00,+4.60787807E+00
+1.34030E-03,+4.65326630E+00,+4.57286429E+00
+1.34130E-03,+4.65326630E+00,-25.61191E-03
+1.34230E-03,+4.67920244E+00,-50.25123E-03
+1.34330E-03,+4.65326630E+00,-50.25123E-03
+1.34430E-03,+4.64678227E+00,-16.53426E-03
+1.34530E-03,+4.65326630E+00,-26.90872E-03
+1.34630E-03,+4.65326630E+00,+4.57286429E+00
+1.34730E-03,+4.65326630E+00,+4.57545791E+00
+1.34830E-03,+4.65326630E+00,+4.58064513E+00
+1.34930E-03,+4.63122059E+00,+4.61306530E+00
+1.35030E-03,+4.65326630E+00,+4.57286429E+00
+1.35130E-03,+4.65326630E+00,-11.34704E-03
+1.35230E-03,+4.62214294E+00,-10.05023E-03
+1.35330E-03,+4.65326630E+00,-50.25123E-03
+1.35430E-03,+4.65326630E+00,-50.25123E-03
+1.35530E-03,+4.69346731E+00,-10.05023E-03
+1.35630E-03,+4.62343975E+00,+4.61306530E+00
+1.35730E-03,+4.65326630E+00,+4.57286429E+00
+1.35830E-03,+4.65326630E+00,+4.61306530E+00
+1.35930E-03,+4.65326630E+00,+4.57286429E+00
+1.36030E-03,+4.66493756E+00,+4.57286429E+00
+1.36130E-03,+4.65326630E+00,-10.05023E-03
+1.36230E-03,+4.65326630E+00,-17.83107E-03
+1.36330E-03,+4.65326630E+00,-10.05023E-03
+1.36430E-03,+4.65326630E+00,-10.05023E-03
+1.36530E-03,+4.65326630E+00,-33.39275E-03
+1.36630E-03,+4.61954933E+00,+4.57934833E+00
+1.36730E-03,+4.65326630E+00,+4.57675471E+00
+1.36830E-03,+4.65326630E+00,+4.57286429E+00
+1.36930E-03,+4.65326630E+00,+4.57286429E+00
+1.37030E-03,+4.65326630E+00,+4.57805152E+00
+1.37130E-03,+4.65326630E+00,-50.25123E-03
+1.37230E-03,+4.65326630E+00,-10.05023E-03
+1.37330E-03,+4.67920244E+00,-10.05023E-03
+1.37430E-03,+4.65326630E+00,-10.05023E-03
+1.37530E-03,+4.65326630E+00,-10.05023E-03
+1.37630E-03,+4.65326630E+00,+4.57286429E+00
+1.37730E-03,+4.65326630E+00,+4.60009723E+00
+1.37830E-03,+4.61565891E+00,+4.61047169E+00
+1.37930E-03,+4.65326630E+00,+4.60528446E+00
+1.38030E-03,+4.65326630E+00,+4.57286429E+00
+1.38130E-03,+4.64159504E+00,-21.72149E-03
+1.38230E-03,+4.65326630E+00,-10.05023E-03
+1.38330E-03,+4.65326630E+00,-41.17359E-03
+1.38430E-03,+4.65326630E+00,-10.05023E-03
+1.38530E-03,+4.65326630E+00,-10.05023E-03
+1.38630E-03,+4.65326630E+00,+4.57286429E+00
+1.38730E-03,+4.65326630E+00,+4.57286429E+00
+1.38830E-03,+4.65326630E+00,+4.57286429E+00
+1.38930E-03,+4.65326630E+00,+4.58194194E+00
+1.39030E-03,+4.65326630E+00,+4.57286429E+00
+1.39130E-03,+4.65326630E+00,-10.05023E-03
+1.39230E-03,+4.67531202E+00,-28.20552E-03
+1.39330E-03,+4.65326630E+00,-42.47039E-03
+1.39430E-03,+4.65326630E+00,-10.05023E-03
+1.39530E-03,+4.65326630E+00,-23.01830E-03
+1.39630E-03,+4.65326630E+00,+4.59620681E+00
+1.39730E-03,+4.65326630E+00,+4.61306530E+00
+1.39830E-03,+4.65326630E+00,+4.57675471E+00
+1.39930E-03,+4.65326630E+00,+4.59880043E+00
+1.40030E-03,+4.63770462E+00,+4.58842597E+00
+1.40130E-03,+4.65326630E+00,-50.25123E-03
+1.40230E-03,+4.65326630E+00,-10.05023E-03
+1.40330E-03,+4.65326630E+00,-34.68956E-03
+1.40430E-03,+4.65326630E+00,-24.31510E-03
+1.40530E-03,+4.65326630E+00,-10.05023E-03
+1.40630E-03,+4.65326630E+00,+4.60658127E+00
+1.40730E-03,+4.65326630E+00,+4.59620681E+00
+1.40830E-03,+4.65326630E+00,+4.61306530E+00
+1.40930E-03,+4.65326630E+00,+4.57545791E+00
+1.41030E-03,+4.65326630E+00,+4.61306530E+00
