x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+128.0242000E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0245125E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0248250E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0251375E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9621105317501E+00,+288.9843749991E-03
+128.0254500E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9423115369876E+00,+308.2812499988E-03
+128.0257625E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3630150500697E+00,+3.9296482205391E+00,+320.3125000000E-03
+128.0260750E-06,+4.2512562572956E+00,+4.7963818796006E+00,+4.3429145477726E+00,+3.9296482205391E+00,+320.3125000000E-03
+128.0263875E-06,+4.2512562572956E+00,+4.7738693170250E+00,+4.3316582664847E+00,+3.9296482205391E+00,+320.3125000000E-03
+128.0267000E-06,+4.2512562572956E+00,+4.7738693170250E+00,+4.3316582664847E+00,+3.9296482205391E+00,+320.3125000000E-03
+128.0270125E-06,+4.2512562572956E+00,+4.7915577590432E+00,+4.3416080151200E+00,+3.9473366625573E+00,+303.1250000033E-03
+128.0273250E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3620100249520E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0276375E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9875376671514E+00,+263.2031250040E-03
+128.0279500E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+4.0012060087195E+00,+248.8281249980E-03
+128.0282625E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9811055064223E+00,+269.2187499977E-03
+128.0285750E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0288875E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0292000E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0295125E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3541708290630E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0298250E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3316582664847E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0301375E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3316582664847E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0304500E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3493467085003E+00,+3.9698492251337E+00,+281.2500000000E-03
+128.0307625E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9610050041260E+00,+289.8437499970E-03
+128.0310750E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9409045018288E+00,+309.3749999968E-03
+128.0313875E-06,+4.2512562572956E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9296482205391E+00,+320.3125000000E-03
+128.0317000E-06,+4.2612060059288E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9296482205391E+00,+330.6249999959E-03
+128.0320125E-06,+4.2816080157613E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9296482205391E+00,+351.4843749968E-03
+128.0323250E-06,+4.2914572618902E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9296482205391E+00,+361.3281250000E-03
+128.0326375E-06,+4.2914572618902E+00,+4.8140703216195E+00,+4.3541708290654E+00,+3.9296482205391E+00,+361.3281250000E-03
+128.0329500E-06,+4.2914572618902E+00,+4.8140703216195E+00,+4.3316582664847E+00,+3.9296482205391E+00,+361.3281250000E-03
+128.0332625E-06,+4.2914572618902E+00,+4.8140703216195E+00,+4.3316582664847E+00,+3.9296482205391E+00,+361.3281250000E-03
+128.0335750E-06,+4.2914572618902E+00,+4.8140703216195E+00,+4.3493467084979E+00,+3.9384924415457E+00,+351.8750000045E-03
+128.0338875E-06,+4.2914572618902E+00,+4.8140703216195E+00,+4.3718592710793E+00,+3.9585929438429E+00,+331.2500000042E-03
+128.0342000E-06,+4.2914572618902E+00,+4.8317587636322E+00,+4.3718592710793E+00,+3.9698492251337E+00,+320.3125000000E-03
