x-axis,1,2,3,4,MATH1
second,Volt,Volt,Volt,Volt,Volt
+231.5670000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9786432163080E+00,-500.7324218739E-03
+231.5674000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9384422117134E+00,-461.6699218738E-03
+231.5678000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5682000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5686000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+48.9949957686E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5690000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+51.5075585588E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5694000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5698000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5702000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5706000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5710000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5714000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.8982412071179E+00,-421.5698242166E-03
+231.5718000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.8793969862163E+00,-402.3437500000E-03
+231.5722000E-06,+1.4560301565775E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9007537699095E+00,-444.8852539108E-03
+231.5726000E-06,+1.4585427193693E+00,+4.8140703216195E+00,+91.7085631541E-03,+1.9195979908109E+00,-461.6699218727E-03
+231.5730000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+110.5527840555E-03,+1.9409547745042E+00,-464.1113281274E-03
+231.5734000E-06,+1.4773869402707E+00,+4.8354271053129E+00,+110.5527840555E-03,+1.9597989954054E+00,-482.4218750000E-03
+231.5738000E-06,+1.4773869402707E+00,+4.8329145425206E+00,+110.5527840555E-03,+1.9597989954054E+00,-482.4218750000E-03
+231.5742000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+89.1960003619E-03,+1.9597989954054E+00,-482.4218750000E-03
+231.5746000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9384422117118E+00,-461.6699218723E-03
+231.5750000E-06,+1.4560301565769E+00,+4.8140703216195E+00,+48.9949957671E-03,+1.9409547745046E+00,-485.9008789120E-03
+231.5754000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+51.5075585602E-03,+1.9384422117116E+00,-501.6479492157E-03
+231.5758000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5762000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+91.7085631549E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5766000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+110.5527840555E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5770000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+110.5527840555E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5774000E-06,+1.4585427193704E+00,+4.7927135379252E+00,+89.1960003612E-03,+1.9195979908109E+00,-461.6699218717E-03
+231.5778000E-06,+1.4773869402707E+00,+4.7738693170250E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5782000E-06,+1.4773869402707E+00,+4.7738693170250E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5786000E-06,+1.4560301565761E+00,+4.7952261007195E+00,+70.3517794609E-03,+1.9195979908109E+00,-464.1113281286E-03
+231.5790000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5794000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5798000E-06,+1.4585427193709E+00,+4.8140703216195E+00,+91.7085631557E-03,+1.9195979908109E+00,-461.6699218712E-03
+231.5802000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+110.5527840555E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5806000E-06,+1.4560301565757E+00,+4.8140703216195E+00,+89.1960003605E-03,+1.9195979908109E+00,-464.1113281290E-03
+231.5810000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5814000E-06,+1.4371859356761E+00,+4.8140703216195E+00,+48.9949957657E-03,+1.9195979908109E+00,-482.4218750000E-03
+231.5818000E-06,+1.4585427193714E+00,+4.8140703216195E+00,+30.1507748663E-03,+1.9195979908109E+00,-461.6699218707E-03
+231.5822000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+51.5075585617E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5826000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+91.7085631563E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5830000E-06,+1.4773869402707E+00,+4.8354271053150E+00,+110.5527840555E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5834000E-06,+1.4773869402707E+00,+4.8329145425185E+00,+89.1960003599E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5838000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5842000E-06,+1.4773869402707E+00,+4.8140703216195E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5846000E-06,+1.4773869402707E+00,+4.7927135379236E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
+231.5850000E-06,+1.4773869402707E+00,+4.7738693170250E+00,+70.3517794609E-03,+1.9195979908109E+00,-443.3593750000E-03
