#timebase=80000000(ps)
,#voltbase=500000(uV)
#size=4064
1.36800E-04,3360.000
1.37200E-04,3360.000
1.37600E-04,3380.000
1.38000E-04,3360.000
1.38400E-04,3380.000
1.38800E-04,3380.000
1.39200E-04,3340.000
1.39600E-04,3360.000
1.40000E-04,3380.000
1.40400E-04,3380.000
1.40800E-04,3360.000
1.41200E-04,3360.000
1.41600E-04,3380.000
1.42000E-04,3380.000
1.42400E-04,3360.000
1.42800E-04,3380.000
1.43200E-04,3360.000
1.43600E-04,3360.000
1.44000E-04,3360.000
1.44400E-04,3360.000
1.44800E-04,3380.000
1.45200E-04,3360.000
1.45600E-04,3360.000
1.46000E-04,3360.000
1.46400E-04,3380.000
1.46800E-04,3360.000
1.47200E-04,3360.000
1.47600E-04,3340.000
1.48000E-04,3380.000
1.48400E-04,3360.000
1.48800E-04,3400.000
1.49200E-04,3360.000
1.49600E-04,3360.000
1.50000E-04,3360.000
1.50400E-04,3360.000
1.50800E-04,3360.000
1.51200E-04,3380.000
1.51600E-04,3380.000
1.52000E-04,3340.000
1.52400E-04,3340.000
1.52800E-04,3340.000
1.53200E-04,3360.000
1.53600E-04,3360.000
1.54000E-04,3360.000
1.54400E-04,3360.000
1.54800E-04,3380.000
1.55200E-04,3340.000
1.55600E-04,3380.000
1.56000E-04,3400.000
1.56400E-04,3360.000
1.56800E-04,3380.000
1.57200E-04,3360.000
1.57600E-04,3360.000
1.58000E-04,3360.000
1.58400E-04,3380.000
1.58800E-04,3380.000
1.59200E-04,3360.000
1.59600E-04,3360.000
1.60000E-04,3380.000
1.60400E-04,3380.000
1.60800E-04,3360.000
1.61200E-04,3360.000
1.61600E-04,3380.000
1.62000E-04,3380.000
1.62400E-04,3360.000
1.62800E-04,3360.000
1.63200E-04,3380.000
1.63600E-04,3400.000
1.64000E-04,3360.000
1.64400E-04,3380.000
1.64800E-04,3340.000
1.65200E-04,3360.000
1.65600E-04,3380.000
1.66000E-04,3360.000
1.66400E-04,3360.000
1.66800E-04,3380.000
1.67200E-04,3360.000
1.67600E-04,3360.000
1.68000E-04,3340.000
1.68400E-04,3380.000
1.68800E-04,3360.000
1.69200E-04,3360.000
1.69600E-04,3360.000
1.70000E-04,3360.000
1.70400E-04,3380.000
1.70800E-04,3340.000
1.71200E-04,3360.000
1.71600E-04,3360.000
1.72000E-04,3340.000
1.72400E-04,3360.000
1.72800E-04,3360.000
1.73200E-04,3380.000
1.73600E-04,3360.000
1.74000E-04,3360.000
1.74400E-04,3400.000
1.74800E-04,3360.000
1.75200E-04,3380.000
1.75600E-04,3380.000
1.76000E-04,3360.000
1.76400E-04,3360.000
1.76800E-04,3380.000
1.77200E-04,3360.000
1.77600E-04,3380.000
1.78000E-04,3360.000
1.78400E-04,3360.000
1.78800E-04,3360.000
1.79200E-04,3380.000
1.79600E-04,3360.000
1.80000E-04,3400.000
1.80400E-04,3340.000
1.80800E-04,3340.000
1.81200E-04,3380.000
1.81600E-04,3340.000
1.82000E-04,3360.000
1.82400E-04,3360.000
1.82800E-04,3360.000
1.83200E-04,3360.000
1.83600E-04,3380.000
1.84000E-04,3380.000
1.84400E-04,3380.000
1.84800E-04,3400.000
1.85200E-04,3380.000
1.85600E-04,3380.000
1.86000E-04,3400.000
1.86400E-04,3400.000
1.86800E-04,3380.000
1.87200E-04,3420.000
1.87600E-04,3400.000
1.88000E-04,3380.000
1.88400E-04,3380.000
1.88800E-04,3400.000
1.89200E-04,3400.000
1.89600E-04,3380.000
1.90000E-04,3380.000
1.90400E-04,3400.000
1.90800E-04,3400.000
1.91200E-04,3380.000
1.91600E-04,3380.000
1.92000E-04,3360.000
1.92400E-04,3380.000
1.92800E-04,3360.000
1.93200E-04,3380.000
1.93600E-04,3360.000
1.94000E-04,3360.000
1.94400E-04,3360.000
1.94800E-04,3380.000
1.95200E-04,3360.000
1.95600E-04,3400.000
1.96000E-04,3380.000
1.96400E-04,3360.000
1.96800E-04,3380.000
1.97200E-04,3360.000
1.97600E-04,3340.000
1.98000E-04,3360.000
1.98400E-04,3380.000
1.98800E-04,3380.000
1.99200E-04,3360.000
1.99600E-04,3360.000
2.00000E-04,3380.000
2.00400E-04,3380.000
2.00800E-04,3340.000
2.01200E-04,3380.000
2.01600E-04,3380.000
2.02000E-04,3360.000
2.02400E-04,3340.000
2.02800E-04,3340.000
2.03200E-04,3340.000
2.03600E-04,3380.000
2.04000E-04,3360.000
2.04400E-04,3360.000
2.04800E-04,3340.000
2.05200E-04,3360.000
2.05600E-04,3340.000
2.06000E-04,3340.000
2.06400E-04,3360.000
2.06800E-04,3340.000
2.07200E-04,3380.000
2.07600E-04,3380.000
2.08000E-04,3360.000
2.08400E-04,3360.000
2.08800E-04,3380.000
2.09200E-04,3340.000
2.09600E-04,3360.000
2.10000E-04,3340.000
2.10400E-04,3340.000
2.10800E-04,3360.000
2.11200E-04,3340.000
2.11600E-04,3360.000
2.12000E-04,3380.000
2.12400E-04,3340.000
2.12800E-04,3380.000
2.13200E-04,3360.000
2.13600E-04,3340.000
2.14000E-04,3360.000
2.14400E-04,3360.000
2.14800E-04,3360.000
2.15200E-04,3360.000
2.15600E-04,3360.000
2.16000E-04,3340.000
2.16400E-04,3360.000
2.16800E-04,3360.000
2.17200E-04,3360.000
2.17600E-04,3360.000
2.18000E-04,3340.000
2.18400E-04,3380.000
2.18800E-04,3340.000
2.19200E-04,3360.000
2.19600E-04,3340.000
2.20000E-04,3340.000
2.20400E-04,3360.000
2.20800E-04,3340.000
2.21200E-04,3340.000
2.21600E-04,3360.000
2.22000E-04,3360.000
2.22400E-04,3360.000
2.22800E-04,3360.000
2.23200E-04,3360.000
2.23600E-04,3360.000
2.24000E-04,3360.000
2.24400E-04,3380.000
2.24800E-04,3400.000
2.25200E-04,3360.000
2.25600E-04,3380.000
2.26000E-04,3360.000
2.26400E-04,3360.000
2.26800E-04,3360.000
2.27200E-04,3340.000
2.27600E-04,3360.000
2.28000E-04,3340.000
2.28400E-04,3360.000
2.28800E-04,3340.000
2.29200E-04,3380.000
2.29600E-04,3380.000
2.30000E-04,3360.000
